Modelo,AUC-ROC,PR-AUC,F1-Score,Recall,Precision
Logistic Regression,0.8424526595882094,0.6328442363258286,0.5921625544267054,0.5454545454545454,0.6476190476190476
Gradient Boosting,0.8412074711307449,0.6540048766742683,0.556923076923077,0.4839572192513369,0.6557971014492754
MLP (PyTorch),0.837146400062001,0.6291738323428631,0.5945205479452055,0.5802139037433155,0.6095505617977528
Random Forest,0.824748766436746,0.6163296360629834,0.5476550680786687,0.4839572192513369,0.6306620209059234
Decision Tree,0.6478984215557105,0.36995246257470094,0.48339973439575035,0.48663101604278075,0.48021108179419525
DummyClassifier (stratified),0.5162533260998735,0.2723402566824383,0.29027962716378164,0.2914438502673797,0.2891246684350133
